omega,t_otim,t_normal,delta_t
0.1,309.5349259376526,238.82170367240906,70.71322226524353
0.11,268.32875180244446,238.82170367240906,29.5070481300354
0.12,266.3464071750641,238.82170367240906,27.52470350265503
0.13,252.7762622833252,238.82170367240906,13.954558610916138
0.14,253.37527561187744,238.82170367240906,14.553571939468384
0.15,250.96184134483337,238.82170367240906,12.140137672424316
0.16,245.75519943237305,238.82170367240906,6.933495759963989
0.17,251.36655688285828,238.82170367240906,12.544853210449219
0.18,237.8707253932953,238.82170367240906,0.9509782791137695
0.19,236.62261056900024,238.82170367240906,2.1990931034088135
0.2,234.22950911521912,238.82170367240906,4.592194557189941
0.21,219.56828808784485,238.82170367240906,19.25341558456421
0.22,220.84930229187012,238.82170367240906,17.97240138053894
0.23,235.68439960479736,238.82170367240906,3.1373040676116943
0.24,214.76212549209595,238.82170367240906,24.05957818031311
0.25,206.88528895378113,238.82170367240906,31.93641471862793
0.26,197.53024673461914,238.82170367240906,41.29145693778992
0.27,192.0847773551941,238.82170367240906,46.736926317214966
0.28,190.35505056381226,238.82170367240906,48.4666531085968
0.29,182.65681648254395,238.82170367240906,56.16488718986511
0.3,182.05523681640625,238.82170367240906,56.76646685600281
0.31,177.86092352867126,238.82170367240906,60.96078014373779
0.32,171.00152683258057,238.82170367240906,67.82017683982849
0.33,172.4395251274109,238.82170367240906,66.38217854499817
0.34,166.45414113998413,238.82170367240906,72.36756253242493
0.35,161.3087043762207,238.82170367240906,77.51299929618835
0.36,157.78929042816162,238.82170367240906,81.03241324424744
0.37,153.68210101127625,238.82170367240906,85.13960266113281
0.38,155.787748336792,238.82170367240906,83.03395533561707
0.39,149.28925490379333,238.82170367240906,89.53244876861572
0.4,145.85589504241943,238.82170367240906,92.96580862998962
0.41,145.30687594413757,238.82170367240906,93.51482772827148
0.42,142.48158025741577,238.82170367240906,96.34012341499329
0.43,138.11591625213623,238.82170367240906,100.70578742027283
0.44,135.96771955490112,238.82170367240906,102.85398411750793
0.45,132.98273181915283,238.82170367240906,105.83897185325623
0.46,126.53581190109253,238.82170367240906,112.28589177131653
0.47,123.67073202133179,238.82170367240906,115.15097165107727
0.48,118.89680814743042,238.82170367240906,119.92489552497864
0.49,116.8567361831665,238.82170367240906,121.96496748924255
0.5,116.20496034622192,238.82170367240906,122.61674332618713
0.51,111.84049916267395,238.82170367240906,126.98120450973511
0.52,112.98047161102295,238.82170367240906,125.84123206138611
0.53,110.38154768943787,238.82170367240906,128.4401559829712
0.54,104.91753816604614,238.82170367240906,133.90416550636292
0.55,104.20902824401855,238.82170367240906,134.6126754283905
0.56,102.67810463905334,238.82170367240906,136.1435990333557
0.57,98.04846692085266,238.82170367240906,140.7732367515564
0.58,94.63350033760071,238.82170367240906,144.18820333480835
0.59,92.39784908294678,238.82170367240906,146.42385458946228
0.6,90.60722160339355,238.82170367240906,148.2144820690155
0.61,87.89417147636414,238.82170367240906,150.92753219604492
0.62,86.52251315116882,238.82170367240906,152.29919052124023
0.63,82.27894067764282,238.82170367240906,156.54276299476624
0.64,82.51247835159302,238.82170367240906,156.30922532081604
0.65,77.8479917049408,238.82170367240906,160.97371196746826
0.66,75.59055709838867,238.82170367240906,163.23114657402039
0.67,73.44543051719666,238.82170367240906,165.3762731552124
0.68,73.2477617263794,238.82170367240906,165.57394194602966
0.69,70.60200786590576,238.82170367240906,168.2196958065033
0.7,68.18264627456665,238.82170367240906,170.6390573978424
0.71,67.04894304275513,238.82170367240906,171.77276062965393
0.72,64.51089453697205,238.82170367240906,174.310809135437
0.73,58.48643088340759,238.82170367240906,180.33527278900146
0.74,58.11413526535034,238.82170367240906,180.70756840705872
0.75,57.19169330596924,238.82170367240906,181.63001036643982
0.76,55.97880244255066,238.82170367240906,182.8429012298584
0.77,51.61185050010681,238.82170367240906,187.20985317230225
0.78,49.61205863952637,238.82170367240906,189.2096450328827
0.79,47.34738278388977,238.82170367240906,191.4743208885193
0.8,44.61501479148865,238.82170367240906,194.2066888809204
0.81,43.06533241271973,238.82170367240906,195.75637125968933
0.82,42.01004076004028,238.82170367240906,196.81166291236877
0.83,40.62513470649719,238.82170367240906,198.19656896591187
0.84,36.91306781768799,238.82170367240906,201.90863585472107
0.85,32.563607931137085,238.82170367240906,206.25809574127197
0.86,30.817833185195923,238.82170367240906,208.00387048721313
0.87,29.209758758544922,238.82170367240906,209.61194491386414
0.88,25.496341705322266,238.82170367240906,213.3253619670868
0.89,24.14265275001526,238.82170367240906,214.6790509223938
0.9,22.752002239227295,238.82170367240906,216.06970143318176
0.91,20.255523920059204,238.82170367240906,218.56617975234985
0.92,16.845808267593384,238.82170367240906,221.97589540481567
0.93,13.454248428344727,238.82170367240906,225.36745524406433
0.94,7.359391927719116,238.82170367240906,231.46231174468994
0.95,10.906237125396729,238.82170367240906,227.91546654701233
0.96,13.85940408706665,238.82170367240906,224.9622995853424
0.97,17.47295641899109,238.82170367240906,221.34874725341797
0.98,26.500006437301636,238.82170367240906,212.32169723510742
0.99,51.65836977958679,238.82170367240906,187.16333389282227
